text,label
Поможешь мне?,Russian
Иш жакшыбы?,Kyrgyz
Hello,English
Have a seat,English
Всё нормально,Russian
Я на работе,Russian
Поздно уже,Russian
Are you alone?,English
Тебе удобно?,Russian
Ты скоро?,Russian
Откуда ты?,Russian
Is this yours?,English
Напиши мне,Russian
Ким чакырды?,Kyrgyz
Качан барабыз?,Kyrgyz
У тебя всё получится,Russian
Ты кушал?,Russian
Я тебя понял,Russian
Кеттик,Kyrgyz
Можно вопрос?,Russian
It's hard,English
Жаңылыктар барбы?,Kyrgyz
I don't agree,English
I'm joking,English
I'm busy,English
Have a nice day,English
Күтүп калдым,Kyrgyz
Позвони мне,Russian
Я дома,Russian
You're amazing,English
Качан бош болосуң?,Kyrgyz
Сколько стоит это?,Russian
Бул кимге тиешелүү?,Kyrgyz
I love it,English
Салам айт,Kyrgyz
Давай завтра,Russian
You're welcome,English
Ты кушал?,Russian
Что будешь пить?,Russian
Скоро буду,Russian
Что за шум?,Russian
I'm ready,English
I'm at the store,English
Сабак кандай өттү?,Kyrgyz
Чай ичели,Kyrgyz
I hope so,English
Бул кимге тиешелүү?,Kyrgyz
Скоро буду,Russian
Ты прав,Russian
Мага жакпайт мындай,Kyrgyz
Мен кеттим,Kyrgyz
Мен барайын,Kyrgyz
Бул сен үчүн,Kyrgyz
Good choice,English
Don't worry,English
You're welcome,English
Когда вернёшься?,Russian
Let's talk,English
Рахмат,Kyrgyz
Эмнеге болбосун?,Kyrgyz
Пойдём в кафе?,Russian
Are you serious?,English
Күтөм,Kyrgyz
Тебе идёт эта одежда,Russian
Happy birthday,English
Как погода?,Russian
Я на работе,Russian
Я на работе,Russian
Это просто,Russian
Жакшы сөз айткыла,Kyrgyz
Мен тамак жасап жатам,Kyrgyz
Давай обсудим,Russian
No problem,English
Отличная работа,Russian
Can you wait for me?,English
It's up to you,English
Мне нужна помощь,Russian
Увидимся позже,Russian
Без проблем,Russian
Менин оюмча,Kyrgyz
I don't like it,English
Do you need help?,English
Hold on,English
Not really,English
Унутпа,Kyrgyz
Давай встретимся позже,Russian
How was it?,English
It was a long day,English
Take care,English
Let's take a break,English
Сиз кайсы шаардансыз?,Kyrgyz
Жакшы күн,Kyrgyz
Можно с тобой?,Russian
Күтпөй койдум,Kyrgyz
Let's catch up,English
Пойдём гулять,Russian
What's your favorite color?,English
Let's have dinner,English
Бул кандайча?,Kyrgyz
Жолугушууга барабызбы?,Kyrgyz
Кайтып кел,Kyrgyz
Какой план?,Russian
I'm feeling better,English
Эмнеге кечигип калдың?,Kyrgyz
Что происходит?,Russian
You made it,English
Жеңиш болсун,Kyrgyz
Сен кайсы жактасың?,Kyrgyz
Что будешь пить?,Russian
Сделаем это,Russian
Эмне жейбиз?,Kyrgyz
Ты уверен?,Russian
It's up to you,English
Эмне пландарың бар?,Kyrgyz
Кайтып кел,Kyrgyz
Спокойной ночи,Russian
Дүкөнгө барасыңбы?,Kyrgyz
Жөн эле сурадым,Kyrgyz
Ты устал?,Russian
До скорого,Russian
Бош эмесмин,Kyrgyz
Поздно уже,Russian
Я тебя понял,Russian
Эмне болду сага?,Kyrgyz
I missed you,English
That's easy,English
Ата-энең кандай?,Kyrgyz
Баары даярбы?,Kyrgyz
Пойдём вместе,Russian
Come with me,English
Куда поедем?,Russian
I'm almost there,English
Спасибо за помощь,Russian
Я тебя понял,Russian
Ты устал?,Russian
It was a great experience,English
Мне всё равно,Russian
Мне нужна помощь,Russian
Это возможно,Russian
Ты в порядке?,Russian
Аягына чейин,Kyrgyz
Long time no see,English
Аман-эсен бар,Kyrgyz
Ты устал?,Russian
Сделаем это,Russian
I'm not sure about that,English
Тамаша кылдыңбы?,Kyrgyz
Ты кушал?,Russian
Are you ready?,English
Ты скоро?,Russian
Я тебя понял,Russian
What's your hobby?,English
Эртең эртең менен,Kyrgyz
Жеңиш болсун,Kyrgyz
Жолуңуз ачык болсун,Kyrgyz
Что будешь пить?,Russian
Эмне кылабыз?,Kyrgyz
Жаңылыктар барбы?,Kyrgyz
Wait a minute,English
Жакшы күн,Kyrgyz
Сүйлөшкүлө,Kyrgyz
Какой твой любимый фильм?,Russian
До свидания,Russian
Который час?,Russian
Сизди сагындым,Kyrgyz
Жолугалыбы?,Kyrgyz
Я тебя понял,Russian
Тебе идёт эта одежда,Russian
Чоң жардам бердиң,Kyrgyz
Чай ичели,Kyrgyz
Пока,Russian
I'm joking,English
Давай сделаем это позже,Russian
What's your name?,English
Эмне кабар?,Kyrgyz
Анда жакшы,Kyrgyz
Мен азыр барам,Kyrgyz
It's not important,English
Сага жагатбы?,Kyrgyz
Когда будет готово?,Russian
Круто!,Russian
I'm coming,English
Ты скоро?,Russian
У нас встреча,Russian
I'm sure about it,English
Сен кайдасың?,Kyrgyz
I totally agree,English
I totally agree,English
Ишенбей жатам,Kyrgyz
Я слышал,Russian
Мен келдим,Kyrgyz
Сага ылайыктуу,Kyrgyz
Ты меня радуешь,Russian
Келгиле чай ичели,Kyrgyz
Эмне кылабыз?,Kyrgyz
I don't agree,English
Good to see you,English
Я устал сильно,Russian
Мне нравится,Russian
Where are you now?,English
Эмне пландарың бар?,Kyrgyz
Жөн эле сурадым,Kyrgyz
Эмне кабар?,Kyrgyz
Качан бош болосуң?,Kyrgyz
All the best,English
Сен тапкычсың,Kyrgyz
Түн тынч болсун,Kyrgyz
Бош убактың барбы?,Kyrgyz
Будь вежлив,Russian
Мен даярмын,Kyrgyz
Поторопись,Russian
Wait for me,English
Бул сен үчүн,Kyrgyz
Я слышал,Russian
Жакшы дем алыш,Kyrgyz
Жолуңуз болсун,Kyrgyz
Я с тобой,Russian
Help yourself,English
Жолугушууга барабызбы?,Kyrgyz
See you soon,English
Жду тебя,Russian
Ты свободен?,Russian
No worries,English
Good morning,English
Түшүнүктүү болду,Kyrgyz
Сага ылайыктуу,Kyrgyz
Менин сүйүктүү тамагым,Kyrgyz
Сен кайда жүрөсүң?,Kyrgyz
Я скоро вернусь,Russian
Я сейчас,Russian
I'm so excited,English
It's too late,English
I'm outside,English
Ты свободен сейчас?,Russian
Бул сенин идеяңбы?,Kyrgyz
Потом расскажу,Russian
Text me later,English
Ты где пропадал?,Russian
I totally agree,English
Call me later,English
Спокойной ночи,Russian
I'm very tired,English
Мен даярмын,Kyrgyz
Эмне сурасаң болот?,Kyrgyz
See you soon,English
I don't agree,English
Let's have dinner,English
Жакшы эс ал,Kyrgyz
Not really,English
Куда поедем?,Russian
Эртең жолугалы,Kyrgyz
Let me think,English
Fantastic,English
Ты молодец,Russian
Иштериң ийгиликтүү болсун,Kyrgyz
Take your time,English
Мен уктайм,Kyrgyz
Do you like traveling?,English
Жол кайда?,Kyrgyz
Я в пути,Russian
Аман-эсен бар,Kyrgyz
Я в пути,Russian
Досторуң кандай?,Kyrgyz
Обязательно,Russian
Скоро буду,Russian
Don't worry,English
Is it far?,English
Can you explain?,English
Көзүң жакшы көрөт экен,Kyrgyz
Погода плохая,Russian
Менин оюмча,Kyrgyz
Сага рахмат,Kyrgyz
Биз кеттик,Kyrgyz
No problem,English
Ты где пропал?,Russian
You're the best,English
Я не расслышал,Russian
Сүйүктүү тамагың кайсы?,Kyrgyz
Мен келдим,Kyrgyz
Ты уже пришёл?,Russian
Go ahead,English
Будь здоров,Russian
Досторуңду чакыр,Kyrgyz
Дагы кайталайсызбы?,Kyrgyz
Бүгүн кандай болду?,Kyrgyz
Айтыңызчы,Kyrgyz
Ты умеешь готовить?,Russian
Болсо жакшы,Kyrgyz
Отлично выглядишь,Russian
Я быстро,Russian
Бүгүн эмнени үйрөндүң?,Kyrgyz
Ты умеешь готовить?,Russian
Мен да макулмун,Kyrgyz
I respect that,English
Отлично выглядишь,Russian
Can I join?,English
You're welcome to join,English
Ты спишь?,Russian
Ты видел это?,Russian
Мен кечигип жатам,Kyrgyz
Баары жайындабы?,Kyrgyz
Түшүнүктүү болду,Kyrgyz
Let's do it together,English
This is interesting,English
Ким менен сүйлөшүп жатасың?,Kyrgyz
Менин телефонум өчүп калды,Kyrgyz
I'm okay now,English
Эмнеге болбойт?,Kyrgyz
Кечиресиз,Kyrgyz
I'm tired,English
Жол кайда?,Kyrgyz
You're welcome,English
Let's walk together,English
Кандайсың?,Kyrgyz
Я на месте,Russian
Ты видел это?,Russian
Пойдём на прогулку,Russian
Сураныч,Kyrgyz
I'm coming,English
Это сложно объяснить,Russian
Какие планы на вечер?,Russian
What's happening?,English
Я на улице,Russian
Пойдём вместе,Russian
Отличная идея,Russian
Perfect,English
Кеттик ойнойлу,Kyrgyz
Пойдём за продуктами,Russian
Поможешь мне?,Russian
See you tomorrow morning,English
Ты опоздал,Russian
Жол жакшыбы?,Kyrgyz
It's hard,English
Что нового у тебя?,Russian
Будь вежлив,Russian
Can I join you?,English
Отличная работа,Russian
Кийинки жолу,Kyrgyz
Кутман күн,Kyrgyz
Ты устал?,Russian
Сколько стоит?,Russian
Баары жайындабы?,Kyrgyz
Where are we going?,English
Сен эмне ойлойсуң?,Kyrgyz
Let's have lunch,English
Мне не нравится,Russian
У нас встреча,Russian
Жакшы эс ал,Kyrgyz
Сиз кайда жашайсыз?,Kyrgyz
I'm staying home,English
Как настроение сегодня?,Russian
I'm leaving,English
See you soon,English
Мен ойлоп жатам,Kyrgyz
Тез кел,Kyrgyz
Let's go together,English
Давай завтра,Russian
I agree,English
Жакшы эс ал,Kyrgyz
Be quiet,English
You were right,English
Давай обсудим,Russian
Можем встретиться,Russian
I'm outside,English
Дем алышта эмне кыласың?,Kyrgyz
Жолугушууга барабызбы?,Kyrgyz
You were right,English
Сенин үйүң кайда?,Kyrgyz
Досторуң кандай?,Kyrgyz
Это сложно,Russian
It's not important,English
Я тоже хочу,Russian
Hello,English
Are you alone?,English
What's your favorite color?,English
I'm a bit busy,English
Эмне кабар?,Kyrgyz
Ты где работаешь?,Russian
Мен угуп жатам,Kyrgyz
Анда жакшы,Kyrgyz
Can I join?,English
Can I call you?,English
Кино көрөлүбү?,Kyrgyz
Как погода сегодня?,Russian
See you soon,English
Эмне керек?,Kyrgyz
You did great,English
Чакырдыңбы?,Kyrgyz
Эмнеге тынчсың?,Kyrgyz
Wait for me,English
I'm happy for you,English
Where are we going?,English
Дүкөнгө барасыңбы?,Kyrgyz
It's cold today,English
Бүгүн кайда жолугабыз?,Kyrgyz
Я сейчас,Russian
Доброе утро,Russian
You're right,English
Ким билет?,Kyrgyz
See you tomorrow,English
What a day!,English
Ты меня понял?,Russian
I hope not,English
Туура айтасың,Kyrgyz
Келгиле чай ичели,Kyrgyz
Эмне кабар?,Kyrgyz
Жол кайда?,Kyrgyz
Кийинкиде,Kyrgyz
Давай сделаем это позже,Russian
Көзүң жакшы көрөт экен,Kyrgyz
Ты рад?,Russian
Погода хорошая,Russian
Жолугушууга барабызбы?,Kyrgyz
Жардам бересизби?,Kyrgyz
Is this yours?,English
Кызык,Kyrgyz
Это смешно,Russian
Жөн эле сурадым,Kyrgyz
Is it far?,English
Погода плохая,Russian
Where do you want to go?,English
Ким чакырды?,Kyrgyz
I believe you,English
Как настроение?,Russian
Ты доволен?,Russian
Do you like music?,English
It's fine,English
Можно с тобой?,Russian
Сен кайда жүрөсүң?,Kyrgyz
Бүттү,Kyrgyz
Go there,English
Уже поздно,Russian
I'm afraid,English
Don't worry,English
Түштүккө кетти,Kyrgyz
Ты обедал?,Russian
Бүгүн кандай болду?,Kyrgyz
I missed you,English
Ты где был?,Russian
Ты меня понял?,Russian
Good to see you,English
What time should we meet?,English
Let's go,English
Түшүнүктүү болду,Kyrgyz
What's your plan?,English
What's your favorite color?,English
Я свободен,Russian
Ты опоздал,Russian
Я не удивлён,Russian
Добрый день,Russian
Кечинде жолугалы,Kyrgyz
Мен азыр барам,Kyrgyz
Эмнеге барбайсың?,Kyrgyz
Бүгүн жуманын кайсы күнү?,Kyrgyz
Можно перезвонить?,Russian
Мен барайын,Kyrgyz
Бул кимдики?,Kyrgyz
Хороший день сегодня,Russian
Ты уже спишь?,Russian
Text me,English
Let me check,English
Унутпа,Kyrgyz
Я отправил тебе сообщение,Russian
Эмне пландарың бар?,Kyrgyz
What's for dinner?,English
I love this place,English
I'm on vacation,English
Эмнеге барбайсың?,Kyrgyz
Сүйүктүү тамагың кайсы?,Kyrgyz
Как дела?,Russian
Hold on,English
Мен сага жардам берем,Kyrgyz
I'm sad,English
Сүйүктүү тамагың кайсы?,Kyrgyz
Это важно,Russian
Пойдём гулять,Russian
Давай обсудим это,Russian
I remember,English
Саламатсызбы,Kyrgyz
Эртең саат канчада?,Kyrgyz
Good choice,English
What's your hobby?,English
Салам айт,Kyrgyz
Хорошего дня,Russian
Унутпа,Kyrgyz
Чем занимаешься?,Russian
Эртең менен көрүшөлү,Kyrgyz
Түн ичинде келем,Kyrgyz
Менин көңүлүм жок,Kyrgyz
Болсун эми,Kyrgyz
Let's walk together,English
Доброй ночи,Russian
That sounds good,English
Я уже еду,Russian
Эч нерсе болбойт,Kyrgyz
Go ahead,English
Мен тамак жасап жатам,Kyrgyz
It's a good idea,English
Are you free?,English
Be careful there,English
Thank you,English
I'm available,English
I love it,English
Мен сага жардам берем,Kyrgyz
Come in,English
I'm almost there,English
Түшкү тамакка барабызбы?,Kyrgyz
Чоң жардам бердиң,Kyrgyz
Я не знаю,Russian
Is it possible?,English
What a day!,English
Как погода сегодня?,Russian
Мен уктайм,Kyrgyz
Ты прав,Russian
Давай встретимся позже,Russian
What are your hobbies?,English
I'm sure about it,English
Let's go together,English
I like your style,English
Где ты работаешь?,Russian
Ты обедал?,Russian
Ты отлично справился,Russian
Пойдём на прогулку,Russian
Эмне керек?,Kyrgyz
You're amazing,English
Жакшы билем,Kyrgyz
You're always welcome,English
Let me think,English
Чоң сүйүнүч,Kyrgyz
Я в пути,Russian
Менин досторум жакшы,Kyrgyz
Кийинки жолу,Kyrgyz
Кош келдиңиз,Kyrgyz
That sounds good,English
Бул кандайча?,Kyrgyz
Бүгүн кайда жолугабыз?,Kyrgyz
Сен эмне ойлойсуң?,Kyrgyz
Түшкү тамакка барабызбы?,Kyrgyz
It's up to you,English
Что нового у тебя?,Russian
I'm listening,English
Бирге баралы,Kyrgyz
I hope not,English
I'm on vacation,English
Дагы сүйлөшөлү,Kyrgyz
What a surprise!,English
You're welcome,English
Good luck,English
Жакшы кеч,Kyrgyz
I'm coming soon,English
Баары жакшы,Kyrgyz
You're always welcome,English
Бул кимге тиешелүү?,Kyrgyz
Эртең эртең менен,Kyrgyz
That's a good point,English
Жолуңуз болсун,Kyrgyz
Эртең эртең менен,Kyrgyz
Я уехал,Russian
Жолдо барам,Kyrgyz
Это моя ошибка,Russian
Бүгүн кандай күн?,Kyrgyz
See you soon,English
Чогуу бололу,Kyrgyz
Мен кечигип жатам,Kyrgyz
Are you free?,English
Как добраться?,Russian
What are you doing?,English
Мен түшүндүрүп берем,Kyrgyz
Just kidding,English
Ким менен сүйлөшүп жатасың?,Kyrgyz
I'm almost there,English
Кош болуңуз,Kyrgyz
Кайра айтчы,Kyrgyz
Ким чакырды?,Kyrgyz
What are you waiting for?,English
Как погода сегодня?,Russian
What's your hobby?,English
I'll let you know,English
До свидания,Russian
I'm leaving,English
Уже вечер,Russian
Sounds bad,English
I hope not,English
Let me think,English
Fantastic,English
Ты умеешь готовить?,Russian
Congratulations,English
Түштүккө кетти,Kyrgyz
Мен бошмун,Kyrgyz
Тез кел,Kyrgyz
It's a good idea,English
Спасибо большое,Russian
Можно вопрос?,Russian
No problem,English
Is it okay with you?,English
Happy birthday,English
Сейчас занято,Russian
Сен даярсыңбы?,Kyrgyz
Maybe later,English
Ты отлично справился,Russian
Сколько стоит?,Russian
It was a great experience,English
Let's move,English
I'm on my way,English
Скажи честно,Russian
Что нового?,Russian
Where are you?,English
Можно с тобой?,Russian
Сизди сагындым,Kyrgyz
Let's order food,English
I'm thirsty,English
Ты видел это?,Russian
What are your hobbies?,English
You're right about that,English
Text me later,English
Кийинки жолу,Kyrgyz
Можно тебя спросить?,Russian
Ты где пропадал?,Russian
Уже выехал,Russian
Добрый вечер,Russian
Будь вежлив,Russian
Can I call you?,English
Don't forget,English
Same here,English
Давай сделаем это позже,Russian
My name is Ali,English
Эртең эртең менен,Kyrgyz
Я тебе перезвоню,Russian
See you tomorrow morning,English
Let's catch up,English
Тамаша кылдыңбы?,Kyrgyz
Кечинде көрүшөлү,Kyrgyz
Сен келдиңби?,Kyrgyz
I forgot,English
Круто!,Russian
Ты уже пришёл?,Russian
Do you have free time?,English
Я опаздываю,Russian
I owe you,English
Бул кимдин?,Kyrgyz
Maybe later,English
Айтыңызчы,Kyrgyz
Дагы көрүшөбүз,Kyrgyz
It's important,English
Как добраться?,Russian
I like your style,English
Бул сен үчүн,Kyrgyz
See you soon,English
I agree with you,English
Абдан жакшы,Kyrgyz
Дагы бир жолу,Kyrgyz
Я подумаю об этом,Russian
All good,English
Я согласен,Russian
Do you need help?,English
What are you doing?,English
Жакшы күн болсун,Kyrgyz
Let's talk,English
Жолуңуз болсун,Kyrgyz
Сенин кеңешиң керек,Kyrgyz
Жолугушууну унутпа,Kyrgyz
What's your plan?,English
Сураныч,Kyrgyz
Жакшы уктап алдым,Kyrgyz
I remember,English
Айтыңызчы,Kyrgyz
Ты слышал новости?,Russian
Бул сен үчүн,Kyrgyz
Бүгүн кайда барабыз?,Kyrgyz
Сага рахмат,Kyrgyz
Погода плохая,Russian
Это неважно,Russian
Жакшы дем алыш,Kyrgyz
Мага чалчы,Kyrgyz
Are you okay?,English
Эртең эртең менен,Kyrgyz
I can't wait,English
Будем смотреть фильм?,Russian
I guess so,English
Let's catch up,English
Я не расслышал,Russian
Эмне жаңылык?,Kyrgyz
Эртең жолугалы,Kyrgyz
Можно узнать?,Russian
Let's move,English
Я почти пришёл,Russian
Завтра встретимся,Russian
Ишенем,Kyrgyz
What's wrong?,English
I'm here,English
Ждёшь кого-то?,Russian
Бүгүн кандай болду?,Kyrgyz
Мага чалчы,Kyrgyz
Кечиресиз,Kyrgyz
Это неважно,Russian
Это сложно объяснить,Russian
I'm very tired,English
Бул жакшы жаңылык,Kyrgyz
Жакшы күн болсун,Kyrgyz
Дагы бир жолу,Kyrgyz
Эмнеге болбосун?,Kyrgyz
Ты дома?,Russian
Жакшы жөө басалы,Kyrgyz
Я тебя понял,Russian
Бүгүн кайда барабыз?,Kyrgyz
Меня зовут Али,Russian
Эртең жолугалы,Kyrgyz
What a surprise!,English
How do you feel?,English
It's early,English
I'm ready,English
See you next time,English
Мне не по себе,Russian
That's funny,English
I'm on a break,English
Ты как там?,Russian
Баары даярбы?,Kyrgyz
Рахмат,Kyrgyz
It's early,English
Кеттик ойнойлу,Kyrgyz
I'm hungry too,English
I love this place,English
Go ahead,English
Where have you been?,English
Кеттик,Kyrgyz
What's your plan?,English
I have no idea,English
I'm on my way,English
Эмне болду?,Kyrgyz
That's easy,English
Сиз кайсы шаардансыз?,Kyrgyz
Good luck with that,English
That's funny,English
Можем встретиться,Russian
Ийгилик каалайм,Kyrgyz
I'm feeling better,English
Болсо жакшы,Kyrgyz
Круто!,Russian
Я тебя понял,Russian
Жакшы эс ал,Kyrgyz
Менин досторум жакшы,Kyrgyz
Келгиле,Kyrgyz
Эмне сунуштайсың?,Kyrgyz
Go there,English
Это важно,Russian
Жолукканча,Kyrgyz
Когда встретимся?,Russian
See you at night,English
Ким чакырды?,Kyrgyz
I agree with you,English
Эмнеге болбосун?,Kyrgyz
Это было круто,Russian
I'll be there,English
Как вас зовут?,Russian
Что нового у тебя?,Russian
Absolutely,English
Спасибо за помощь,Russian
Fantastic,English
Кто придёт?,Russian
I like your style,English
Ты меня радуешь,Russian
I'm nervous,English
Мен азыр келем,Kyrgyz
Баары жакшы болот,Kyrgyz
Жакшы кеч,Kyrgyz
Я сейчас занят,Russian
Болсун эми,Kyrgyz
Мен угуп жатам,Kyrgyz
Поторопись,Russian
Бош убактың барбы?,Kyrgyz
Кеттик,Kyrgyz
Как добраться?,Russian
Я волнуюсь,Russian
How was it?,English
Let's go outside,English
Мне не нравится,Russian
Давай выпьем чаю,Russian
Take your time,English
Бирге баралы,Kyrgyz
Ты спишь?,Russian
Это секрет,Russian
Сен эмне ойлойсуң?,Kyrgyz
Сага рахмат,Kyrgyz
That's easy,English
Эмне болду сага?,Kyrgyz
Баары жакшы болот,Kyrgyz
Дүкөнгө барасыңбы?,Kyrgyz
До скорого,Russian
I forgot,English
I'm bored,English
Не переживай,Russian
Спасибо за помощь,Russian
Ты уверен?,Russian
I'm on a break,English
Береги себя,Russian
Мен уктайм,Kyrgyz
Жакшы иш жасадың,Kyrgyz
Ты кушал?,Russian
"Кел, сүйлөшөлү",Kyrgyz
Баары жайында,Kyrgyz
Where have you been?,English
I'm at the store,English
Can I call you?,English
Just kidding,English
Кечинде көрүшөлү,Kyrgyz
Не переживай,Russian
Let's go together,English
Спасибо,Russian
Түн ичинде келем,Kyrgyz
Come in,English
Что будем есть?,Russian
Аман-эсен бар,Kyrgyz
Мне нужна помощь,Russian
I miss you,English
Fantastic,English
I'm sure about it,English
It's okay,English
Это важно для меня,Russian
Айтыңызчы,Kyrgyz
Я на месте,Russian
Take a rest,English
Эмне болду сага?,Kyrgyz
Бирге сүйлөшөлү,Kyrgyz
